sno,id,coursetitle,site,ispaid,price,subscribers,reviews,lectures,level,duration,subject
107,680044,"Binary Options- Trading Strategies, 90percent Accuracy and Signals",learn-trading-binary-options-from-scratch-and-3-strategies,TRUE,195,1723,38,24,Beginner Level,1,Business Finance
108,923616,Website Investing 101 - Buying and Selling Online Businesses,cash-flow-website-investing-buy-sell-online-businesses-digital-assets,FALSE,0,6811,151,51,All Levels,2,Business Finance
109,741898,Practical Accounts and Bookkeeping Automated Overview ,practical-accounts-bookkeeping-automated-overview,TRUE,20,2060,17,30,All Levels,5,Business Finance
110,381330,Live Account - ETF Trading System - Hacking The Stock Market,cracked-wall-street-hacked-the-stock-market-top-secret,TRUE,150,2318,19,16,All Levels,5,Business Finance
111,545918,Stock Market Leverage- How to Start Trading Options Wisely,stock-market-tips-how-to-successfully-trade-options,TRUE,95,2153,14,13,Beginner Level,2,Business Finance
112,191854,Stock Market Foundations,how-to-invest-in-the-stock-market-beginners,FALSE,0,19339,794,9,Beginner Level,2,Business Finance
113,471546,Crash Course on Working Capital Management,crash-course-on-working-capital-management,TRUE,20,3177,8,8,All Levels,1,Business Finance
114,866584,Advanced Accounting A Complete Study for CA or CMA or CFA or CS,branch-accounts-a-complete-analysis,TRUE,150,1535,16,462,All Levels,62,Business Finance
115,889824,61percent Profit In 1 Month - Crush Your Forex Trading Paradigm,61-profit-in-1-month-shattering-your-trading-paradigm,TRUE,20,1027,29,25,All Levels,2,Business Finance
116,1191504,How to create a routine Trading,how-to-create-a-trading-routine,TRUE,25,307,8,5,All Levels,0,Business Finance
